career_name,career_occ_code,career_2012_emp,career_2022_emp,career_num_emp_change,career_percent_emp_change,career_percent_self_emp,career_job_openings,career_med_ann_wage,career_edu,career_work_exp,career_job_training
Construction laborers,47-2061,1071.1,1331,259.8,24.3,23.5,489.1,29990,Less than high school,None,Short-term on-the-job training
Lodging managers,11-9081,50.4,51.1,0.7,1.4,39.4,16.2,46810,High school diploma or equivalent,Less than 5 years,None
Log graders and scalers,45-4023,3.5,2.4,-1.1,-31.6,20,0.5,32880,High school diploma or equivalent,None,Moderate-term on-the-job training
"Miscellaneous life, physical, and social science technicians",19-4090,143.6,155.8,12.2,8.5,1.3,69.8,41210,,,
"Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031,347.3,366.4,19.1,5.5,0.4,280.4,18580,Less than high school,None,None
Avionics technicians,49-2091,17.1,17.6,0.5,2.9,,4,55350,Associate's degree,None,None
"Material moving workers, all other",53-7199,28.7,30.2,1.5,5.3,2.6,9.4,37320,Less than high school,None,Short-term on-the-job training
"Administrative law judges, adjudicators, and hearing officers",23-1021,14.9,14.7,-0.3,-1.7,,2.4,87240,Doctoral or professional degree,Less than 5 years,Short-term on-the-job training
"Molders, shapers, and casters, except metal and plastic",51-9195,42,45.1,3.1,7.5,26.9,17,29300,High school diploma or equivalent,None,Long-term on-the-job training
"Rolling machine setters, operators, and tenders, metal and plastic",51-4023,36.4,32.8,-3.6,-9.9,,7,37390,High school diploma or equivalent,None,Moderate-term on-the-job training
Postmasters and mail superintendents,11-9131,23,17.4,-5.6,-24.2,,5,63050,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Fishing and hunting workers,45-3000,31.3,29.8,-1.5,-4.9,56.6,6.4,34010,,,
Cost estimators,13-1051,202.2,255.2,53,26.2,2.8,118,58860,Bachelor's degree,None,None
"Paving, surfacing, and tamping equipment operators",47-2071,54.7,65.5,10.8,19.7,1.1,18.7,35840,High school diploma or equivalent,None,Moderate-term on-the-job training
"Medical scientists, except epidemiologists",19-1042,103.1,116.8,13.7,13.3,0.8,35.5,76980,Doctoral or professional degree,None,None
Computer support specialists,15-1150,722.4,845.3,123,17,0.8,236.5,48900,,,
"Inspectors, testers, sorters, samplers, and weighers",51-9061,464.3,490,25.7,5.5,1.6,127.7,34460,High school diploma or equivalent,None,Moderate-term on-the-job training
Other protective service workers,33-9000,1463,1624.2,161.2,11,0.8,507,24230,,,
"Morticians, undertakers, and funeral directors",39-4031,23.5,26.3,2.8,12.1,1.5,7.9,46840,Associate's degree,None,Long-term on-the-job training
Nurse practitioners,29-1171,110.2,147.3,37.1,33.7,1.8,58.5,89960,Master's degree,None,None
Desktop publishers,43-9031,16.4,15.5,-0.9,-5.5,,3,37040,Associate's degree,None,Short-term on-the-job training
Plant and system operators,51-8000,314.2,311.8,-2.4,-0.8,,118,53820,,,
Aircraft cargo handling supervisors,53-1011,6.8,6.9,0,0.7,1.3,1.9,47930,High school diploma or equivalent,Less than 5 years,None
"Musicians, singers, and related workers",27-2040,245,257.3,12.2,5,31.7,78.3,,,,
"Building cleaning workers, all other",37-2019,14.4,16.6,2.2,15,4.4,4.9,27570,Less than high school,None,Short-term on-the-job training
Billing and posting clerks,43-3021,513.8,607,93.2,18.1,2.4,187.8,33450,High school diploma or equivalent,None,Short-term on-the-job training
Painting workers,51-9120,149.7,155.2,5.5,3.7,3.9,32.8,32850,,,
Business and financial operations occupations,13-0000,7167.6,8065.7,898.1,12.5,6.1,2351.5,62500,,,
Electrical and electronic equipment assemblers,51-2022,198.3,184.9,-13.5,-6.8,0.3,24,28810,High school diploma or equivalent,None,Short-term on-the-job training
"Vehicle and mobile equipment mechanics, installers, and repairers",49-3000,1610.5,1750.6,140.1,8.7,9,544.7,38470,,,
"Counselors, all other",21-1019,29.8,35.6,5.8,19.4,5.2,12.1,43810,Master's degree,None,None
Cabinetmakers and bench carpenters,51-7011,86.2,89.7,3.5,4.1,9.3,10.4,30980,High school diploma or equivalent,None,Moderate-term on-the-job training
Miscellaneous media and communication workers,27-3090,94.3,125.2,30.8,32.7,20.7,43.8,45350,,,
"Title examiners, abstractors, and searchers",23-2093,67.9,74.1,6.2,9.2,23.8,17.3,41970,High school diploma or equivalent,None,Short-term on-the-job training
"Helpers, construction trades, all other",47-3019,21.4,26.6,5.2,24.3,0.5,8.6,25610,Less than high school,None,Short-term on-the-job training
Gaming supervisors,39-1011,38.5,41.6,3.1,8.2,35.3,11,49290,High school diploma or equivalent,Less than 5 years,None
"Plant and system operators, all other",51-8099,11.9,12,0.1,0.7,,4.5,53130,High school diploma or equivalent,None,Long-term on-the-job training
Nurse anesthetists,29-1151,35.2,43.9,8.8,24.9,1.2,15.6,148160,Master's degree,None,None
Other healthcare support occupations,31-9000,1458.7,1798.8,340.2,23.3,5,612.2,30620,,,
"Communications equipment operators, all other",43-2099,3,3.2,0.1,4.6,,0.9,40250,High school diploma or equivalent,None,Short-term on-the-job training
"Art, drama, and music teachers, postsecondary",25-1121,114.3,132.6,18.3,16,0.1,35.5,62160,Master's degree,None,None
"Arts, communications, and humanities teachers, postsecondary",25-1120,333.3,382.2,48.9,14.7,0.1,99,61710,,,
"Home economics teachers, postsecondary",25-1192,5.6,6.2,0.5,9.6,,1.4,64040,Master's degree,None,None
"Electrical and electronics installers and repairers, transportation equipment",49-2093,15.9,16.2,0.4,2.3,,3.6,51240,Postsecondary non-degree award,None,Long-term on-the-job training
Life scientists,19-1000,294.5,321.8,27.2,9.2,3.1,104.7,68780,,,
Dining room and cafeteria attendants and bartender helpers,35-9011,403.2,435.4,32.1,8,0,208.9,18500,Less than high school,None,Short-term on-the-job training
Sales managers,11-2022,359.3,389,29.8,8.3,2.7,106.9,105260,Bachelor's degree,Less than 5 years,None
"Helpers, construction trades",47-3000,213.4,278.8,65.3,30.6,0.5,98.8,26570,,,
"Forging machine setters, operators, and tenders, metal and plastic",51-4022,22.6,19.7,-2.9,-12.8,,4.3,34060,High school diploma or equivalent,None,Moderate-term on-the-job training
"Software developers, systems software",15-1133,405,487.8,82.8,20.4,1.9,134.7,99000,Bachelor's degree,None,None
Financial specialists,13-2000,2735.3,3056.5,321.2,11.7,7.1,1007.4,63070,,,
New accounts clerks,43-4141,55.7,53,-2.7,-4.9,,14.4,31720,High school diploma or equivalent,None,Moderate-term on-the-job training
Tellers,43-3071,545.3,551,5.6,1,0.1,259.8,24940,High school diploma or equivalent,None,Short-term on-the-job training
"Carpet, floor, and tile installers and finishers",47-2040,96.4,108.3,11.8,12.3,30.7,29.1,36400,,,
Food cooking machine operators and tenders,51-3093,33.4,33.2,-0.2,-0.6,,8.7,26350,High school diploma or equivalent,None,Moderate-term on-the-job training
Print binding and finishing workers,51-5113,54.9,52.9,-2,-3.7,3.9,9.6,29750,High school diploma or equivalent,None,Short-term on-the-job training
Biological scientists,19-1020,103.7,111.3,7.6,7.3,2.3,37.4,69850,,,
Printing press operators,51-5112,178.4,171.4,-7,-3.9,3.1,31.4,34690,High school diploma or equivalent,None,Moderate-term on-the-job training
Photographers,27-4021,136.3,142.2,5.9,4.3,59.8,20.3,28490,High school diploma or equivalent,None,Long-term on-the-job training
"Production workers, all other",51-9199,241.8,259.3,17.5,7.3,5.1,80.6,26940,High school diploma or equivalent,None,Moderate-term on-the-job training
"Education, training, and library workers, all other",25-9099,116,124.2,8.2,7.1,3.2,18.1,36610,Bachelor's degree,None,None
"Janitors and cleaners, except maids and housekeeping cleaners",37-2011,2324,2604,280,12.1,3.6,717.3,22320,Less than high school,None,Short-term on-the-job training
"Model makers, wood",51-7031,1.3,1.3,0.1,5.5,,0.3,28800,High school diploma or equivalent,None,Moderate-term on-the-job training
Healthcare social workers,21-1022,146.2,185.5,39.2,26.8,1.3,70.2,49830,Master's degree,None,None
"Special education teachers, middle school",25-2053,94.6,99.5,4.9,5.2,0.2,21.1,55780,Bachelor's degree,None,Internship/residency
Miscellaneous production workers,51-9190,866.8,907.8,41.1,4.7,3,224.5,25290,,,
Computer network architects,15-1143,143.4,164.3,20.9,14.6,1.2,43.5,91000,Bachelor's degree,5 years or more,None
Physicians and surgeons,29-1060,691.4,814.7,123.3,17.8,9.4,296.4,187200,,,
"Health teachers, postsecondary",25-1070,257.9,350.4,92.6,35.9,0.1,131.3,73920,,,
"English language and literature teachers, postsecondary",25-1123,86.8,97.4,10.6,12.2,0.1,23.6,60040,Doctoral or professional degree,None,None
Continuous mining machine operators,47-5041,14.3,14.3,-0.1,-0.6,4.4,2.6,51950,High school diploma or equivalent,None,Moderate-term on-the-job training
Helpers--extraction workers,47-5081,26.4,30.8,4.4,16.6,,11.4,31460,High school diploma or equivalent,None,Moderate-term on-the-job training
Orderlies,31-1015,54.6,63.6,9.1,16.6,,19.4,23990,High school diploma or equivalent,None,Short-term on-the-job training
Power distributors and dispatchers,51-8012,11.7,11.6,-0.1,-0.9,,3.6,71690,High school diploma or equivalent,None,Long-term on-the-job training
"Engineering technicians, except drafters, all other",17-3029,67.7,68.3,0.6,0.9,0.2,14.6,59440,Associate's degree,None,None
"Health diagnosing and treating practitioners, all other",29-1199,47.2,50.9,3.7,7.9,32.2,13.5,72710,Master's degree,None,None
Credit counselors,13-2071,30.9,37.3,6.4,20.7,1.8,12,39420,Bachelor's degree,None,Moderate-term on-the-job training
"Sawing machine setters, operators, and tenders, wood",51-7041,40.2,45.7,5.4,13.5,3.5,16.6,26190,High school diploma or equivalent,None,Short-term on-the-job training
Financial analysts,13-2051,253,292.4,39.3,15.5,2.6,100.9,76950,Bachelor's degree,None,None
Forest and conservation workers,45-4011,10.5,11,0.5,4.5,3.6,2.3,24340,High school diploma or equivalent,None,Moderate-term on-the-job training
First-line supervisors of office and administrative support workers,43-1011,1418.1,1589.6,171.5,12.1,0.5,508,49330,High school diploma or equivalent,Less than 5 years,None
Audiologists,29-1181,13,17.3,4.3,33.6,5.4,7,69720,Doctoral or professional degree,None,None
"Farmers, ranchers, and other agricultural managers",11-9013,930.6,750.7,-179.9,-19.3,73.1,150.2,69300,High school diploma or equivalent,5 years or more,None
Insurance sales agents,41-3021,443.4,489.3,45.9,10.4,19,150.2,48150,High school diploma or equivalent,None,Moderate-term on-the-job training
Pile-driver operators,47-2072,3.8,4.8,1,27.5,,1.7,48480,High school diploma or equivalent,None,Moderate-term on-the-job training
"Food processing workers, all other",51-3099,39.7,42.9,3.2,8.1,3.9,13.6,23140,Less than high school,None,Moderate-term on-the-job training
Legislators,11-1031,58.4,62.1,3.7,6.4,,16.5,19780,Bachelor's degree,Less than 5 years,None
Chemists and materials scientists,19-2030,96.2,101.6,5.4,5.6,0.7,30.4,73060,,,
Psychologists,19-3030,160.2,178.9,18.7,11.7,26.5,62.3,69280,,,
"Rock splitters, quarry",47-5051,4.6,5.4,0.8,17.4,1.7,1.4,32280,High school diploma or equivalent,None,Short-term on-the-job training
Teacher assistants,25-9041,1223.4,1328.5,105,8.6,0,382.6,23640,"Some college, no degree",None,None
Conveyor operators and tenders,53-7011,39.1,40.5,1.3,3.4,,12.4,29610,Less than high school,None,Short-term on-the-job training
Ophthalmic laboratory technicians,51-9083,31,34.7,3.7,12.1,4.4,14.2,28590,High school diploma or equivalent,None,Moderate-term on-the-job training
Telecommunications line installers and repairers,49-9052,134.9,143,8.1,6,0.4,41.2,51410,High school diploma or equivalent,None,Long-term on-the-job training
Forest and conservation technicians,19-4093,34,32.8,-1.2,-3.5,,13.4,33920,Associate's degree,None,None
Marketing managers,11-2021,180.5,203.4,22.9,12.7,2.6,61.7,119480,Bachelor's degree,5 years or more,None
Water and wastewater treatment plant and system operators,51-8031,111,119.6,8.6,7.7,,47.5,42760,High school diploma or equivalent,None,Long-term on-the-job training
"Dispatchers, except police, fire, and ambulance",43-5032,190.9,212.3,21.4,11.2,1,76.4,35690,High school diploma or equivalent,None,Moderate-term on-the-job training
Electrical power-line installers and repairers,49-9051,114.5,124.7,10.2,8.9,0.3,49.9,63250,High school diploma or equivalent,None,Long-term on-the-job training
Sheet metal workers,47-2211,142.3,164.3,22,15.5,5.1,48.9,43290,High school diploma or equivalent,None,Apprenticeship
Heavy and tractor-trailer truck drivers,53-3032,1701.5,1894.1,192.6,11.3,7.2,464.7,38200,Postsecondary non-degree award,None,Short-term on-the-job training
Motorboat operators,53-5022,3.4,3.6,0.2,5.7,9.6,1.8,35190,High school diploma or equivalent,None,Short-term on-the-job training
Zoologists and wildlife biologists,19-1023,20.1,21.1,1,4.9,1.3,6.7,57710,Bachelor's degree,None,None
Cardiovascular technologists and technicians,29-2031,51.6,67.3,15.7,30.4,1.1,23,52070,Associate's degree,None,None
"Crushing, grinding, and polishing machine setters, operators, and tenders",51-9021,30.2,29.5,-0.7,-2.3,2.3,8.5,31830,High school diploma or equivalent,None,Moderate-term on-the-job training
Biomedical engineers,17-2031,19.4,24.6,5.2,26.6,,10.1,86960,Bachelor's degree,None,None
"Social sciences teachers, postsecondary",25-1060,143.3,163.2,19.9,13.9,0.1,41.5,70580,,,
Landscaping and groundskeeping workers,37-3011,1124.9,1264,139.2,12.4,22.5,422.7,23570,Less than high school,None,Short-term on-the-job training
First-line supervisors of fire fighting and prevention workers,33-1021,62.3,66.3,3.9,6.3,,30.5,68210,Postsecondary non-degree award,Less than 5 years,Moderate-term on-the-job training
Parking enforcement workers,33-3041,9.7,9.7,0,-0.2,,2.8,35690,High school diploma or equivalent,None,Short-term on-the-job training
Roofers,47-2181,132.7,147.9,15.2,11.4,28.1,42.9,35290,Less than high school,None,Moderate-term on-the-job training
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47-3011,24.4,34.9,10.5,43,0.5,14.3,28220,Less than high school,None,Short-term on-the-job training
Detectives and criminal investigators,33-3021,115.2,117.5,2.3,2,0.3,27.7,74300,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Machinists,51-4041,397.5,432.4,34.8,8.8,1.1,125.9,39500,High school diploma or equivalent,None,Long-term on-the-job training
Producers and directors,27-2012,103.5,106.4,2.9,2.8,15.2,37.9,71350,Bachelor's degree,Less than 5 years,None
"Helpers--installation, maintenance, and repair workers",49-9098,127.5,145,17.5,13.7,0.3,55.9,24210,High school diploma or equivalent,None,Moderate-term on-the-job training
Emergency management directors,11-9161,9.9,10.7,0.8,8.3,,2.2,59770,Bachelor's degree,5 years or more,None
"Artists and related workers, all other",27-1019,11.4,11.2,-0.2,-1.5,36.4,2.7,59840,High school diploma or equivalent,None,Long-term on-the-job training
"Pesticide handlers, sprayers, and applicators, vegetation",37-3012,29.6,33,3.3,11.2,23.6,10.8,30270,High school diploma or equivalent,None,Moderate-term on-the-job training
Painters and paperhangers,47-2140,319.6,382.2,62.6,19.6,40.3,111.1,35180,,,
"Physical scientists, all other",19-2099,31.2,33.1,1.8,5.9,10.3,8.3,91640,Bachelor's degree,None,None
"Health specialties teachers, postsecondary",25-1071,190,258.6,68.6,36.1,0.1,97.2,81140,Doctoral or professional degree,Less than 5 years,None
"Grounds maintenance workers, all other",37-3019,19.3,21.3,1.9,10,15.8,6.8,26760,Less than high school,None,Short-term on-the-job training
"Tax examiners, collectors and preparers, and revenue agents",13-2080,157,163,6,3.8,14.9,50.4,43970,,,
Butchers and meat cutters,51-3021,136.7,143.2,6.5,4.8,0.8,40.2,28490,Less than high school,None,Long-term on-the-job training
Construction equipment operators,47-2070,409.7,487.9,78.2,19.1,3.2,164.8,40980,,,
Automotive service technicians and mechanics,49-3023,701.1,761.5,60.4,8.6,13.7,237.6,36610,High school diploma or equivalent,None,Long-term on-the-job training
"Production, planning, and expediting clerks",43-5061,284.7,294.8,10.1,3.6,1,81.1,43740,High school diploma or equivalent,None,Moderate-term on-the-job training
"Archivists, curators, and museum technicians",25-4010,29.3,32.6,3.3,11.4,3.3,9.7,44410,,,
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021,74.9,63,-11.9,-15.9,,14.4,32330,High school diploma or equivalent,None,Moderate-term on-the-job training
Artists and related workers,27-1010,195.1,203,7.8,4,55.8,54.3,63320,,,
"Meter readers, utilities",43-5041,40.2,32.5,-7.7,-19.2,,10.1,35940,High school diploma or equivalent,None,Short-term on-the-job training
Interpreters and translators,27-3091,63.6,92.9,29.3,46.1,18.9,38.1,45430,Bachelor's degree,None,Short-term on-the-job training
Tire repairers and changers,49-3093,98.4,107,8.6,8.7,1.5,42.9,23410,High school diploma or equivalent,None,Short-term on-the-job training
"Food preparation and serving related workers, all other",35-9099,37.8,41.5,3.7,9.8,,24,20300,Less than high school,None,Short-term on-the-job training
"Industrial machinery installation, repair, and maintenance workers",49-9040,449.7,527.2,77.4,17.2,2.4,187.6,45810,,,
Compliance officers,13-1041,239.8,250.8,11,4.6,0.1,55.3,62020,Bachelor's degree,None,Moderate-term on-the-job training
"Arts, design, entertainment, sports, and media occupations",27-0000,2570.9,2751.6,180.6,7,25.8,799.5,43930,,,
Conservation scientists,19-1031,22.1,22.3,0.1,0.5,1.5,6.6,61100,Bachelor's degree,None,None
"Bookkeeping, accounting, and auditing clerks",43-3031,1799.8,2004.5,204.6,11.4,4.7,370,35170,High school diploma or equivalent,None,Moderate-term on-the-job training
Order clerks,43-4151,212.7,207.4,-5.3,-2.5,1.3,56,29480,High school diploma or equivalent,None,Short-term on-the-job training
"Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,72.2,79.6,7.3,10.2,1.2,23.3,27920,High school diploma or equivalent,None,Short-term on-the-job training
Fish and game wardens,33-3031,6.6,6.7,0.1,1.2,,2,48070,High school diploma or equivalent,None,Short-term on-the-job training
"Vocational education teachers, postsecondary",25-1194,136.2,152.3,16.1,11.8,0.2,36.6,47990,Bachelor's degree,Less than 5 years,None
Highway maintenance workers,47-4051,147.6,155.9,8.4,5.7,1.3,30.3,35260,High school diploma or equivalent,None,Moderate-term on-the-job training
"Office clerks, general",43-9061,2983.5,3167.6,184.1,6.2,0.4,810.9,27470,High school diploma or equivalent,None,Short-term on-the-job training
Motorboat mechanics and service technicians,49-3051,20.8,22,1.1,5.5,11.2,5.5,35530,High school diploma or equivalent,None,Long-term on-the-job training
"Coin, vending, and amusement machine servicers and repairers",49-9091,40.9,40,-0.9,-2.1,11.6,4.1,31150,High school diploma or equivalent,None,Short-term on-the-job training
"Precision instrument and equipment repairers, all other",49-9069,13.8,14.4,0.6,4.5,12.1,4.5,52270,High school diploma or equivalent,None,Long-term on-the-job training
"Bus drivers, transit and intercity",53-3021,170.6,187.4,16.8,9.8,1.4,48.1,36600,High school diploma or equivalent,None,Moderate-term on-the-job training
Adult basic and secondary education and literacy teachers and instructors,25-3011,77.4,84.2,6.7,8.7,9.6,19.9,48590,Bachelor's degree,None,Internship/residency
Helpers--electricians,47-3013,60.8,83.3,22.4,36.9,0.5,32,27670,High school diploma or equivalent,None,Short-term on-the-job training
"Petroleum pump system operators, refinery operators, and gaugers",51-8093,41.9,39.8,-2.1,-5.1,,15.5,61850,High school diploma or equivalent,None,Long-term on-the-job training
Tapers,47-2082,19.2,22.1,2.9,14.8,18.7,4.7,45290,Less than high school,None,Moderate-term on-the-job training
Nuclear power reactor operators,51-8011,7.2,7.2,0,0.5,,2.3,74990,High school diploma or equivalent,None,Long-term on-the-job training
"Bus drivers, school or special client",53-3022,483.6,524.8,41.1,8.5,1.3,129.9,28080,High school diploma or equivalent,None,Short-term on-the-job training
Aerospace engineers,17-2011,83,89.1,6.1,7.3,1.1,25.4,103720,Bachelor's degree,None,None
"Metal furnace operators, tenders, pourers, and casters",51-4050,31.5,27.2,-4.3,-13.6,0.8,4.1,37180,,,
Social workers,21-1020,607.3,721.5,114.1,18.8,1,242.8,44200,,,
Funeral service managers,11-9061,9.3,10.5,1.2,12.5,1.7,3.2,66720,Associate's degree,Less than 5 years,None
"Life scientists, all other",19-1099,9.9,10.9,1,10.2,,3.1,65330,Bachelor's degree,None,None
Flight attendants,53-2031,84.8,79.2,-5.5,-6.5,,14,37240,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Architecture teachers, postsecondary",25-1031,9.1,10.4,1.3,14.3,,2.7,71610,Doctoral or professional degree,None,None
"Economics teachers, postsecondary",25-1063,16.8,19.2,2.4,14.2,,4.9,87950,Doctoral or professional degree,None,None
Sound engineering technicians,27-4014,17,17.1,0.1,0.7,13.7,3.2,46310,Postsecondary non-degree award,None,Short-term on-the-job training
Extraction workers,47-5000,267.3,311,43.7,16.4,1.5,126.1,40650,,,
Electromechanical equipment assemblers,51-2023,50.5,46.9,-3.6,-7.1,0.3,6.1,31460,High school diploma or equivalent,None,Short-term on-the-job training
Hoist and winch operators,53-7041,3.1,3.2,0.1,2.7,,1,39960,Less than high school,None,Short-term on-the-job training
"Mixing and blending machine setters, operators, and tenders",51-9023,120.1,116.4,-3.7,-3.1,2.3,33.9,33840,High school diploma or equivalent,None,Moderate-term on-the-job training
Pumping station operators,53-7070,34.3,37.9,3.7,10.7,8.8,15.7,46240,,,
Statistical assistants,43-9111,17.2,18.8,1.6,9.2,6.2,6.3,39840,Bachelor's degree,None,None
First-line supervisors of housekeeping and janitorial workers,37-1011,249.5,281.6,32,12.8,28.4,91.6,35310,High school diploma or equivalent,Less than 5 years,None
"Teachers and instructors, all other",25-3099,981.6,1057.5,75.9,7.7,8.4,243.5,28540,Bachelor's degree,None,Internship/residency
"Life, physical, and social science occupations",19-0000,1249.1,1374.8,125.7,10.1,5.4,488.2,60100,,,
"Combined food preparation and serving workers, including fast food",35-3021,2969.3,3391.2,421.9,14.2,0,1555.7,18260,Less than high school,None,Short-term on-the-job training
"Painters, transportation equipment",51-9122,48.9,54,5.1,10.4,3.8,14,39600,High school diploma or equivalent,None,Moderate-term on-the-job training
Miscellaneous legal support workers,23-2090,146.3,156.4,10.1,6.9,16.7,33.8,46560,,,
Supervisors of food preparation and serving workers,35-1000,963.9,1079.3,115.4,12,3.7,373.5,30120,,,
Community and social service occupations,21-0000,2374.7,2783.4,408.8,17.2,2,962.9,40400,,,
Executive secretaries and executive administrative assistants,43-6011,873.9,863.4,-10.5,-1.2,0.9,105.2,47500,High school diploma or equivalent,Less than 5 years,None
"Physical sciences teachers, postsecondary",25-1050,62.2,70.4,8.2,13.2,0.1,17.6,75460,,,
"Actors, producers, and directors",27-2010,183.2,189.4,6.2,3.4,13.6,66.8,60080,,,
"Community and social service specialists, all other",21-1099,105.6,121.6,16,15.1,0.1,43.6,41060,Master's degree,None,None
"Miscellaneous installation, maintenance, and repair workers",49-9090,384.1,420,35.9,9.3,10.6,122.6,31100,,,
"Patternmakers, wood",51-7032,0.8,0.8,0,0.2,,0.1,39840,High school diploma or equivalent,None,Moderate-term on-the-job training
"Rail yard engineers, dinkey operators, and hostlers",53-4013,5.3,5.4,0.1,2.4,,1.7,41230,High school diploma or equivalent,None,Moderate-term on-the-job training
Mathematical science occupations,15-2000,132.4,166.9,34.5,26.1,1.6,68.4,76270,,,
"Heat treating equipment setters, operators, and tenders, metal and plastic",51-4191,22,21.6,-0.4,-1.9,,4.2,34010,High school diploma or equivalent,None,Moderate-term on-the-job training
"Entertainment attendants and related workers, all other",39-3099,11.5,12.6,1.1,9.2,0.7,6.8,25140,High school diploma or equivalent,None,Short-term on-the-job training
"Surveyors, cartographers, and photogrammetrists",17-1020,54.5,61.3,6.8,12.4,2.5,18.3,56530,,,
Fishers and related fishing workers,45-3011,31.3,29.7,-1.6,-5,56.7,6.3,33430,Less than high school,None,Moderate-term on-the-job training
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",47-5010,108.1,129.6,21.5,19.9,0.8,65.2,44570,,,
Bakers,51-3011,167.6,177,9.4,5.6,6,50.1,23140,Less than high school,None,Long-term on-the-job training
Technical writers,27-3042,49.5,56.9,7.4,14.8,4.9,22.6,65500,Bachelor's degree,Less than 5 years,Short-term on-the-job training
Physical therapists,29-1123,204.2,277.7,73.5,36,4.4,123.7,79860,Doctoral or professional degree,None,None
"Laborers and freight, stock, and material movers, hand",53-7062,2197.3,2439.2,241.9,11,1.2,922.5,23890,Less than high school,None,Short-term on-the-job training
"Transportation workers, all other",53-6099,37.1,39,1.9,5.1,,16.5,30870,High school diploma or equivalent,None,Short-term on-the-job training
Baggage porters and bellhops,39-6011,41,46,5,12.1,,15.1,20050,High school diploma or equivalent,None,Short-term on-the-job training
First-line supervisors of construction trades and extraction workers,47-1011,545.5,673.8,128.3,23.5,15.5,187.1,59700,High school diploma or equivalent,5 years or more,None
Residential advisors,39-9041,89.7,108.2,18.5,20.7,,57.3,24520,High school diploma or equivalent,None,Short-term on-the-job training
Proofreaders and copy markers,43-9081,13.2,13,-0.2,-1.4,12.1,2.4,32780,Bachelor's degree,None,None
"Motor vehicle operators, all other",53-3099,64.1,71.5,7.4,11.5,3,25.3,26930,High school diploma or equivalent,None,Short-term on-the-job training
Furniture finishers,51-7021,14.8,15.3,0.5,3.3,7.6,2.8,28500,High school diploma or equivalent,None,Short-term on-the-job training
Structural iron and steel workers,47-2221,58.1,70.8,12.7,21.8,0.6,31.5,46140,High school diploma or equivalent,None,Apprenticeship
"Biological science teachers, postsecondary",25-1042,61.4,73.4,12,19.5,0.1,21.2,74180,Doctoral or professional degree,None,None
Amusement and recreation attendants,39-3091,267.1,297.5,30.3,11.3,0.6,164.2,18710,Less than high school,None,Short-term on-the-job training
Physicists,19-2012,20.6,22.7,2.1,10.4,7.1,7.2,106840,Doctoral or professional degree,None,None
Terrazzo workers and finishers,47-2053,3.5,4.2,0.7,19.8,4.5,1.1,39740,High school diploma or equivalent,None,Apprenticeship
Food batchmakers,51-3092,105.2,102.5,-2.7,-2.6,2.9,34.2,26550,High school diploma or equivalent,None,Moderate-term on-the-job training
Nonfarm animal caretakers,39-2021,190.6,219.8,29.2,15.3,16.6,52.1,19690,Less than high school,None,Short-term on-the-job training
Medical secretaries,43-6013,525.6,714.9,189.2,36,1.2,252.5,31350,High school diploma or equivalent,None,Moderate-term on-the-job training
"Material recording, scheduling, dispatching, and distributing workers",43-5000,3858.5,3759.7,-98.8,-2.6,0.8,1130.4,28380,,,
Surgical technologists,29-2055,98.5,127.8,29.3,29.8,0.1,39.1,41790,Postsecondary non-degree award,None,None
Gaming and sports book writers and runners,39-3012,14.7,15.8,1.1,7.8,1.5,3.7,21810,High school diploma or equivalent,None,Short-term on-the-job training
Dental assistants,31-9091,303.2,377.6,74.4,24.5,,137.2,34500,Postsecondary non-degree award,None,None
Animal breeders,45-2021,1.3,1,-0.3,-23.4,77.3,0.4,34250,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training
"Camera operators, television, video, and motion picture",27-4031,21.4,22.6,1.2,5.5,22.2,2.8,40300,Bachelor's degree,None,None
Veterinary assistants and laboratory animal caretakers,31-9096,74.6,81.7,7.1,9.5,,21.3,23130,High school diploma or equivalent,None,Short-term on-the-job training
Purchasing managers,11-3061,71.9,73.4,1.5,2.1,0.3,17.3,100170,Bachelor's degree,5 years or more,None
Concierges,39-6012,26.3,32.4,6.1,23.4,,12.7,27250,High school diploma or equivalent,None,Moderate-term on-the-job training
Agricultural and food science technicians,19-4011,25.9,26.7,0.8,2.9,0.8,10.1,34070,Associate's degree,None,Moderate-term on-the-job training
Locomotive firers,53-4012,1.6,0.9,-0.7,-42,,0.5,44920,High school diploma or equivalent,None,Moderate-term on-the-job training
Radio and telecommunications equipment installers and repairers,49-2020,233.6,243.1,9.5,4.1,3.7,41.6,53790,,,
Communications equipment operators,43-2000,145.1,126.4,-18.7,-12.9,1,27.9,25930,,,
"Insulation workers, floor, ceiling, and wall",47-2131,23.3,29.4,6.1,26.2,1.6,9.2,32360,Less than high school,None,Short-term on-the-job training
Industrial engineering technicians,17-3026,68,65.8,-2.2,-3.2,0.3,14.1,50980,Associate's degree,None,None
